words,N_index
killer,90
help,80
knife,80
bomb,95
gun,95
rifle,95
crazy psycho,40
psycho,40
help me,99
somebody help,95
blast,80
fire,75
gun fire,85
gun shot,89
fuck,30
fuck you,10
shutup,5
shut up,5
away,1
boo,1
get off,1
oh fuck,5
fuck off,15
damn you,5
get out,1
holy shit,2
shit,1
son of a bitch,5
asshole,10
ass hole,10
mother fucker,15
fucker,15
oh fuck,15
oh shit,4
fuck sick,9
not safe,40
the,1
liquid,1
drug,55
store,1
was,1
charged,1
with,1
illegally,30
dispensing,1
tranquilizers,20
full,1
moon,1
shone,1
brightly,1
that,1
night,1
steve,1
collect,1
threat,40
and,1
noble,1
callings,15
our,1
received,15
a,1
joint,1
appointment,1
biology,1
engineering,1
departments,1
